Operating Point Analysis Results:
Quiescent Current (I_Q): 9.98 uA
Power Consumption: 17.96 uW

Detailed Node Voltages:
m.xx1.xb39.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb40.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb40.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb40.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb41.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb41.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb41.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb42.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb42.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb42.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa43.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa43.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa43.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa44.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa44.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa44.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa45.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa45.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa45.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa46.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa46.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa46.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb43.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb43.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb43.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb44.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb44.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb44.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb45.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb45.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb45.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb46.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb46.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb46.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa47.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa47.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa47.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa48.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa48.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa48.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb47.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb47.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb47.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb48.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
